VxL.x,VxL.y,VxL.z,normL,errorAileron,errorRudder,errorElevator,errorThrottle,P_des.x,P_des.y,P_des.z,P_is.x,P_is.y,P_is.z,L_is.x,L_is.y,L_is.z,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,ACMDb.x,ACMD.y,ACMDb.z
16.55952,0.006905,0.138112,0.000199,0.005033,-0.000238,-0.030267,0.500000,0.000000,0.000000,0.000000,-364.9952,-352.5172,-0.904010,0.000000,100.0000,-5.000000,-0.000252,0.002056,0.030197,0.000007,0.000238,0.030267,0.664322,0.005033,-9.757212
16.43023,0.007567,0.151359,0.000199,0.005744,-0.000263,-0.030359,0.500000,0.000000,0.000000,0.000000,-364.9950,-351.3083,-0.904309,0.000000,100.0000,-5.000000,-0.000279,0.002053,0.030289,0.000008,0.000263,0.030359,0.660799,0.005744,-9.757358
16.35112,0.007919,0.158394,0.000199,0.006443,-0.000276,-0.030510,0.500000,0.000000,0.000000,0.000000,-364.9948,-350.1886,-0.904650,0.000000,100.0000,-5.000000,-0.000295,0.002055,0.030441,0.000010,0.000276,0.030510,0.657474,0.006443,-9.757431
16.23708,0.008317,0.166342,0.000199,0.007241,-0.000291,-0.030564,0.500000,0.000000,0.000000,0.000000,-364.9946,-349.1613,-0.905050,0.000000,100.0000,-5.000000,-0.000313,0.002050,0.030495,0.000012,0.000291,0.030564,0.654148,0.007241,-9.757600
16.06986,0.008598,0.171967,0.000199,0.007742,-0.000303,-0.030433,0.500000,0.000000,0.000000,0.000000,-364.9945,-348.4367,-0.905350,0.000000,100.0000,-5.000000,-0.000326,0.002033,0.030365,0.000012,0.000303,0.030433,0.651505,0.007742,-9.757906
15.60914,0.009057,0.181143,0.000199,0.009033,-0.000321,-0.029916,0.500000,0.000000,0.000000,0.000000,-364.9942,-346.9746,-0.905859,0.000000,100.0000,-5.000000,-0.000347,0.001978,0.029850,0.000008,0.000321,0.029916,0.645922,0.009033,-9.758792
15.32635,0.009040,0.180819,0.000199,0.010012,-0.000321,-0.029646,0.500000,0.000000,0.000000,0.000000,-364.9940,-345.8136,-0.906209,0.000000,100.0000,-5.000000,-0.000350,0.001947,0.029582,0.000009,0.000321,0.029646,0.641517,0.010012,-9.759350
15.02000,0.008387,0.167745,0.000199,0.010771,-0.000296,-0.029343,0.500000,0.000000,0.000000,0.000000,-364.9937,-344.5348,-0.906600,0.000000,100.0000,-5.000000,-0.000328,0.001914,0.029280,0.000008,0.000296,0.029343,0.637014,0.010771,-9.759947
14.76229,0.007098,0.141973,0.000199,0.011114,-0.000248,-0.029122,0.500000,0.000000,0.000000,0.000000,-364.9936,-343.2434,-0.906980,0.000000,100.0000,-5.000000,-0.000280,0.001887,0.029060,0.000008,0.000248,0.029122,0.633000,0.011114,-9.760429
14.55068,0.006009,0.120199,0.000199,0.011172,-0.000207,-0.028981,0.500000,0.000000,0.000000,0.000000,-364.9934,-341.9394,-0.907380,0.000000,100.0000,-5.000000,-0.000239,0.001868,0.028920,0.000009,0.000207,0.028981,0.629378,0.011172,-9.760803
