0.296071,L_is.x,L_is.y,L_is.z,Delta_L,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,Throttle,Aileron,Rudder,Elevator
-0.012692,0.002471,-6.108368,-0.416449,-3.877451,0.012098,-0.529153,-2.786612,-0.028195,-0.012692,-2.836265,-0.775490,nan,-0.001804,1.363844
0.001245,0.002197,-6.739349,-0.427349,-3.247115,0.002506,-0.576457,-2.677445,-0.029811,0.001245,-2.738636,-0.649422,nan,-0.001788,1.374701
0.008778,0.002441,-6.985168,-0.442909,-3.000803,-0.003136,-0.598362,-2.652582,-0.023742,0.008777,-2.719117,-0.600160,nan,-0.001465,1.373781
0.014486,0.002777,-7.166321,-0.460139,-2.818922,-0.007635,-0.613104,-2.635194,-0.015278,0.014486,-2.705506,-0.563784,nan,-0.001044,1.372339
0.022491,0.003997,-7.599579,-0.478559,-2.385367,-0.014686,-0.611042,-2.523216,0.001949,0.022489,-2.596092,-0.477073,nan,-0.000077,1.387317
0.030650,0.005279,-7.841217,-0.499319,-2.142900,-0.022715,-0.626006,-2.493044,0.002725,0.030646,-2.570354,-0.428579,nan,0.001563,1.388353
0.028139,0.007080,-8.206360,-0.519799,-1.777190,-0.021656,-0.596417,-2.363424,0.003372,0.028135,-2.437448,-0.355438,nan,0.001899,1.414215
0.023240,0.009429,-8.631165,-0.541689,-1.351849,-0.018378,-0.522118,-2.158174,0.011657,0.023238,-2.220357,-0.270369,nan,0.001828,1.460477
0.022113,0.010864,-8.804657,-0.564189,-1.177279,-0.018174,-0.485215,-2.068956,0.016719,0.022111,-2.124988,-0.235455,nan,0.002210,1.481603
0.020868,0.011413,-8.728943,-0.585209,-1.251455,-0.017139,-0.485958,-2.090529,0.018015,0.020867,-2.146159,-0.250291,nan,0.002170,1.478029
0.015262,0.014160,-9.272186,-0.611709,-0.707646,-0.013142,-0.423186,-1.890669,0.015947,0.015262,-1.937370,-0.141529,nan,0.002211,1.523568
0.010552,0.016082,-9.626923,-0.635589,-0.352105,-0.009181,-0.393737,-1.787211,0.010029,0.010552,-1.830034,-0.070421,nan,0.001880,1.547710
0.008029,0.017242,-9.795532,-0.657179,-0.182432,-0.006892,-0.381244,-1.744386,0.005660,0.008029,-1.785548,-0.036486,nan,0.001548,1.558313
0.004902,0.018615,-10.08566,-0.678009,0.108443,-0.003917,-0.361569,-1.672521,0.000480,0.004902,-1.711155,0.021688,nan,0.000980,1.575355
0.003749,0.019256,-10.13019,-0.697919,0.154219,-0.002716,-0.357463,-1.663565,-0.001607,0.003749,-1.701535,0.030843,nan,0.000654,1.578299
0.000915,0.020599,-10.54034,-0.716569,0.564693,0.000314,-0.331421,-1.568371,-0.005197,0.000915,-1.602997,0.112938,nan,-0.000316,1.600314
-0.000645,0.021636,-10.88849,-0.734559,0.913259,0.002197,-0.309741,-1.493295,-0.005846,-0.000645,-1.525070,0.182651,nan,-0.001205,1.617607
-0.001036,0.022125,-10.99283,-0.753439,1.018641,0.002793,-0.302067,-1.473037,-0.005268,-0.001036,-1.503683,0.203728,nan,-0.001630,1.622635
-0.001646,0.023254,-11.52359,-0.771579,1.549416,0.003679,-0.275198,-1.376944,-0.001877,-0.001646,-1.404178,0.309883,nan,-0.002446,1.643625
-0.001877,0.024139,-11.99500,-0.791489,2.021104,0.003918,-0.260464,-1.317121,0.001224,-0.001877,-1.342631,0.404220,nan,-0.002780,1.655849
-0.002145,0.024566,-12.10098,-0.811859,2.128211,0.004128,-0.261752,-1.319216,0.001903,-0.002145,-1.344937,0.425642,nan,-0.002814,1.654951
-0.003085,0.025146,-12.39209,-0.832579,2.420053,0.004832,-0.265436,-1.314581,0.001822,-0.003085,-1.341115,0.484010,nan,-0.002789,1.654432
-0.004162,0.025634,-12.68542,-0.853039,2.714100,0.005572,-0.276332,-1.325617,0.000521,-0.004162,-1.354118,0.542820,nan,-0.002618,1.649733
-0.005364,0.026000,-12.85721,-0.872979,2.886837,0.006458,-0.290921,-1.351440,-0.001083,-0.005364,-1.382403,0.577367,nan,-0.002473,1.641903
-0.006928,0.026397,-13.28085,-0.891699,3.310781,0.007382,-0.320019,-1.389423,-0.004872,-0.006928,-1.425795,0.662156,nan,-0.002036,1.628276
-0.008918,0.026580,-13.71033,-0.908639,3.740429,0.008630,-0.360751,-1.445454,-0.009337,-0.008918,-1.489761,0.748085,nan,-0.001612,1.608598
